URL,Label
kuklaskorner.com/index.php/hockey/tags/tag/michel+therrien,good
histopolis.com/Place/US/NY/St_Lawrence_County/Massena_Center,good
profesionalisti.com/hot-video-pro/dan4o-piseca-youtube-66990.html,good
postalzipcodeof.com/CA-_Canada/QC-Quebec/Anjou_West/,good
www.mycutelittle.iamspace.com/gril/to.htm?c=www.megaupload.com/?d=7Y12ESN9,bad
naia.cstv.com/sports/m-baskbl/spec-rel/032308aak.html,good
melodicsoundwaves.com/2011/11/album-review-keeping-secrets-last.html,good
www.mobileer.com/index.html,good
my-akshaykumar.blogspot.com/,good
lyngsat-logo.com/download.html?imagename=Musimax&imagepath=mm/musimax,good
kmresults.com/solutions/view?id=541,good
en.wikipedia.org/wiki/Category:Populated_coastal_places_in_Japan,good
www.corcel22.com.br//aulas/baviso.php,bad
travelingluck.com/North%20America/Mexico/Chihuahua/_3983312_Saucillo.html,good
wn.com/List_of_Flower_class_corvettes,good
chat-by-orkut12.blogspot.jp/,bad
185.66.10.57/module/9f3359a7b12ceea791a4afc21a971152/,bad
memorialobituaries.com/memorials/memorials.cgi?action=Obit&memid=95051&clientid=mccamm,good
members.tripod.com/alecpalmer/,good
worldbaristachampionship.com/2010/09/04/canadian-barista-championship/,good
'9d345009-a-62cb3a1a-s-sites.googlegroups.com/site/stickamcomlogindo/login.html?amp\%3Battredirects=2&amp;attachauth=ANoY7cpeAIhOmJx5pPXgoqRfC34GeQCP2rREiCnmbRatvVxggONcr81x6pn-NmxDk4CNZUPJxAC_wP57MPPuOLDHkROk2d6rju5_kB6S8DXREYnsMqkrjd2AO9N-Lf2XKEmalkg-8lOA4TNiBzbVMWSBKhB1uJXaTqU9CYGoBc6D1rXxko5HJAbnmBKoJRWUZAVsHp_nHhWtfWCr9iA0O3kghED8RFTZDQ\%3D\%3D&amp;attredirects=0',bad
taipei.sublet.com/,good
bbb.org/northeast-california/business-reviews/dentists-dental-services/archibald-nancy-l-dds-in-rocklin-ca-33012493,good
blog.strangemusicinc.com/2010/11/independent-grind-tour-review-kansas-city-missouri/,good
astray.com/recipes/?show=Blackening%20spice,good
www.italyguide.com/accoglienza/b_b/foto/nab.htm,bad
search.espn.go.com/greg-oden/,good
fzwjaguarswaterpolo.shutterfly.com/,good
us.battle.net.ddwow.asia/login/en/,bad
ebrazi.ro/wp-content/gallery/brad-craciun-1m-15m/thumbs/efiling_absa_mobiledo/index.htm,bad
hipcodes.com/,good
wn.com/The_Other_Boleyn_Girl_(2008_film),good
eatwashington.com/article/graham_bartlett_chef_of_zengo/,good
youtube.com/watch?v=391Z59AdZbs,good
moneyslinger.com/,good
www.mtvhomeshop18.com/checkout_confirmation.php,bad
blog.newsok.com/berrytramel/2010/06/21/big-12-how-about-a-big-east-alliance/,good
fanbase.com/2-Vancouver-Whitecaps,good
local.yahoo.com/info-18676556-rare-finds-balch-springs,good
thedirtbags.com/alumni/,good
receberpremios.com/,bad
porn.com/videos/juliet-anderson-and-rita-ricardo-have-good-time-60613.html,good
taney.org/taney2.htm,good
www.daveeaton.com/scm/,good
fedspending.org/faads/faads.php?database=faads&reptype=r&detail=-1&datype=T&sortby=f&recipient_state_code=06&fiscal_year=2005&sum_expand=C,good
answers.yahoo.com/question/index?qid=20100707153939AAl9AlE,good
law.cornell.edu/supct/html/06-1164.ZS.html,good
kcwwl.org/,good
www.littlewhitedog.com/content-27.html,good
brightlightsfilm.com/27/cormaninterview1.html,good
fght.org/,good
www.lbodnar.dsl.pipex.com/eMac/eMac-upgrade.html,good
lensstrap.com/tmps/freemobile.fr/956010a2fd8386cd0289597d14931798/d2d2f9199f5d9f80c3404ca1af37bc30/,bad
news.bostonherald.com/track/inside_track/view/20100321medalist_joannie_rochettes_on_her_mettle/srvc=home&position=5,good
thebiglead.com/index.php/2010/12/10/ufc-124/,good
myspace.com/jfrobitaille,good
comdatex.de/87yfhc,bad
timburton.com/,good
eu.diablo.net.login.account.ren.xe-ouf.asia/,bad
fangraphs.com/blogs/index.php/what-the-oakland-athletics-should-do/,good
youtube.com/watch?v=gIcvSdPPhUo,good
insidesocal.com/kings/2009/08/luc-robitaille-qa.html,good
nomoredeadbatteries.org/,bad
benuatinta.com/a/Gdoccc/,bad
acehardwarehome.com,bad
sanjuan832.blogspot.com/,good
duckduckgo.com/1/c/American_practitioners_of_Brazilian_Jiu-Jitsu,good
tonaya.com/old_aol.1.3country/?Login=&amp;Lis=10&amp;LigertID=1993745&amp;us=1,bad
veromi.com/Frances-Holman.aspx,good
ajayannext.blogspot.com/,good
'paypal.com.us.login.run.clinets.cgi-bin.webscr.upd13583585d80a13c0ddjvxhu85d80a13c0db1f9of8z2r2w214x2.account.confirmed.lovepeaceandnappyness.com/confirmed/account.php\%3F_v=74r274u2r2r2m5h54354v2',bad
en.wiktionary.org/wiki/dears,good
www8.pair.com/ksoft/,good
joanjettbadrep.com/cgi-bin/lyrics.cgi?song=WoolyBully,good
worldcat.org/title/avis-de-deces-parus-dans-le-journal-de-montreal-1997/oclc/53001711,good
app.pho8.com/lp/sd/en/lp4/index.php?c=300&l=524&subid=21841780391,bad
fsin-dostavka.su/arhangelsk/errors/default/css/mobile.free.fr/Assistance/FreeMobile/Free.fr/cmd/6331af38aff8d3936f29e941cad4243d/moncompte/index.php,bad
bombcheats.com/plugins/pp/,bad
amerikanservisi.com/938fhnr3?vBkhjmOR=TEiHoS,bad
facebook.com/doug.aitchison,good
publicschoolreview.com/agency_schools/leaid/628050,good
storrent.net/interstitial?q=%20Reid%20Smith%20(as%20Andy%20Stevens),good
