url,type
https://www.worldgolf.com/news/pga/royal-montreal-golf-club-presidents-cup-quebec-canada-6016.htm,legitimate
http://ebachqliaopdinnfdi.adclap.info/ZNXOjVSXAA4O26fLfAW1hnKRD41CRsfQR7SPBxJQgFmPMlSOSNP2ALoHMdMQC7JznHR07iEVaAU=\nebachqliaopdinnfdi.adclap.info/ew1ehkej80.php,phishing
https://www.missouristate.edu/certification/crosscat.htm,legitimate
https://www.youtube.com/watch?v=W4FIdcXIk2o,legitimate
https://www.yelp.com/biz/kzpt-104-1-fm-the-point-tucson,legitimate
http://moverspasedena.org/auto/mail.htm?cmd=lob=rbglogon&amp;amp...,phishing
https://www.mylife.com/garypayton056,legitimate
https://www.guyanalive.com/,legitimate
https://www.en.wikipedia.org/wiki/Laurier_(electoral_district),legitimate
https://www.lyrics007.com/The%20Beatles%20Lyrics/Give%20Peace%20A%20Chance%20Lyrics.html,legitimate
http://cinderella.net.br/index/gtex/,phishing
http://fotoidea.com/sport/4x4_san_ponso/slides/IMG_9551.html,phishing
https://www.detroit.sbnation.com/2010/9/4/1670480/tate-forcier-need-to-know-im-out,legitimate
https://www.archive.org/stream/familyheirsofsir02fulluoft/familyheirsofsir02fulluoft_djvu.txt,legitimate
https://www.montrealmirror.com/wp/2011/05/12/media/,legitimate
https://www.american11soccer.com/2009_06_21_archive.html,legitimate
http://ecoledesalsa.com/,phishing
http://adfectavissetmodifiais.pizzadrones.nl/cliquey.php?k=3mpkzsjxL9jNPhgkxt5&amp;m=pgWwwkjsPgznhhR1l2gJ1pMc&amp;s=WpqnzdXAyxAcmZRuwtzaARhNbwzS&amp;fz=LZzm&amp;c=LNztBQ92aSE2L&amp;a=LMgHvE&amp;z=9&amp;fa=QHtf&amp;ps=c,phishing
https://www.sportsecyclopedia.com/nhl/nyi/nylsanders.html,legitimate
https://www.news.bbc.co.uk/sport1/hi/football/teams/g/grimsby_town/default.stm,legitimate
https://www.profilecanada.com/companydetail.cfm?company=818380_Garage_Gilles_Simard_Qubec_QC,legitimate
https://www.idolator.com/5477411/glee-sings-madonnas-like-a-prayer-and-it-feels-like-home,legitimate
https://www.shannongorman.com/Familyresearchindex.htm,legitimate
https://www.saltwaterfishinglinereviews.com/extreme-spectra/,legitimate
http://jeffreymunns.info/jfk/index.php,phishing
https://www.mountain-vacation-rental.com/,legitimate
https://www.ckoa.net/,legitimate
https://www.wn.com/2010_FIFA_World_Cup_qualification_(UEFA),legitimate
http://yomanarmycc.asia/80.exe,phishing
https://www.barbarabennett.lnfre.com/,legitimate
https://www.audiocircle.com/index.php?topic=89555.0,legitimate
https://www.pics.smashits.com/melanie-morgan.html,legitimate
https://www.bluntinstrument.org.uk/beck/buffy/slayer.htm,legitimate
https://www.imdb.com/name/nm0150533/,legitimate
https://www.virtualglobetrotting.com/map/galileos-garden-by-dale-eldred/,legitimate
https://www.visitusa.com/northdakota/camping/lamourecountymemorialpark.htm,legitimate
https://www.trails.com/city-trails.aspx?keyword=Norman&state=OK,legitimate
https://www.en.wikipedia.org/wiki/612_ABC_Brisbane,legitimate
https://www.xmarks.com/site/www.cintara.com/,legitimate
http://tubemoviez.com,phishing
https://www.bleacherreport.com/articles/381841-kansas-city-chiefs-2010-2011-regular-season-schedule,legitimate
http://accessbillsrests.com/llings/clients/,phishing
https://www.pr-inside.com/kutoka-interactive-launches-didi-r921260.htm,legitimate
http://zigoh.com/errors/default/images/PayPal_%20Summarycomfim.html,phishing
https://www.whatculture.com/tv/tv-review-hawaii-five-0-pilot.php,legitimate
